cve_id,description,av,ac,pr,ui,s,c,i,a
CVE-2024-22332,The IBM Integration Bus for z/OS 10.1 through 10.1.0.2 AdminAPI is vulnerable to a denial of service due to file system exhaustion.  IBM X-Force ID:  279972.,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2024-23639,Micronaut Framework is a modern  JVM-based  full stack Java framework designed for building modular  easily testable JVM applications with support for Java  Kotlin and the Groovy language. Enabled but unsecured management endpoints are susceptible to drive-by localhost attacks. While not typical of a production application  these attacks may have more impact on a development environment where such endpoints may be flipped on without much thought. A malicious/compromised website can make HTTP requests to `localhost`. Normally  such requests would trigger a CORS preflight check which would prevent the request; however  some requests are "simple" and do not require a preflight check. These endpoints  if enabled and not secured  are vulnerable to being triggered. Production environments typically disable unused endpoints and secure/restrict access to needed endpoints. A more likely victim is the developer in their local development host  who has enabled endpoints without security for the sake of easing development. This issue has been addressed in version 3.8.3. Users are advised to upgrade.,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-24819,icingaweb2-module-incubator is a working project of bleeding edge Icinga Web 2 libraries. In affected versions the class `gipfl\Web\Form` is the base for various concrete form implementations [1] and provides protection against cross site request forgery (CSRF) by default. This is done by automatically adding an element with a CSRF token to any form  unless explicitly disabled  but even if enabled  the CSRF token (sent during a client's submission of a form relying on it) is not validated. This enables attackers to perform changes on behalf of a user which  unknowingly  interacts with a prepared link or website. The version 0.22.0 is available to remedy this issue. Users are advised to upgrade. There are no known workarounds for this vulnerability.,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2023-43609,In Emerson Rosemount GC370XA  GC700XA  and GC1500XA products  an unauthenticated user with network access could obtain access to sensitive information or cause a denial-of-service condition.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,HIGH
CVE-2023-46687,In Emerson Rosemount GC370XA  GC700XA  and GC1500XA products  an unauthenticated user with network access could execute arbitrary commands in root context from a remote computer.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2023-49716,In Emerson Rosemount GC370XA  GC700XA  and GC1500XA products  an authenticated user with network access could run arbitrary commands from a remote computer.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2023-51761,In Emerson Rosemount GC370XA  GC700XA  and GC1500XA products  an unauthenticated user with network access could bypass authentication and acquire admin capabilities.,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-0657,The Internal Link Juicer: SEO Auto Linker for WordPress plugin for WordPress is vulnerable to Stored Cross-Site Scripting via admin settings such as 'ilj_settings_field_links_per_page'  in all versions up to  and including  2.23.4 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers  with administrator-level access  to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page. This only affects multi-site installations and installations where unfiltered_html has been disabled.,NETWORK,LOW,HIGH,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2024-0842,The Backuply – Backup  Restore  Migrate and Clone plugin for WordPress is vulnerable to Denial of Service in all versions up to  and including  1.2.5. This is due to direct access of the backuply/restore_ins.php file and. This makes it possible for unauthenticated attackers to make excessive requests that result in the server running out of resources.,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2024-1122,The Event Manager  Events Calendar  Events Tickets for WooCommerce – Eventin plugin for WordPress is vulnerable to unauthorized access of data due to a missing capability check on the export_data() function in all versions up to  and including  3.3.50. This makes it possible for unauthenticated attackers to export event data.,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE
